id,text
1,"My order was supposed to arrive yesterday and I still don't have it."
2,"Thanks! The replacement arrived today and works perfectly."
3,"I was charged twice for the same subscription."
4,"How can I change the email address on my account?"
5,"The headphones connect but the left side has no sound."
6,"Great, another package that arrived late."
7,"Please cancel this charge before it processes tomorrow."
8,"I can't log in and the password reset link keeps expiring."
9,"Do you know when the blue version will be back in stock?"
10,"The delivery was late, but your support agent was incredibly helpful."
11,"Where can I download my invoice?"
12,"My package says delivered but nothing is at my door."
13,"Everything works as expected. Thank you."
14,"I need access to my account today because I have a deadline tonight."
15,"The item looks different from the photos but I think I can still use it."
16,"Can someone explain your return policy?"
17,"I requested a refund last week and haven't received it yet."
18,"My tracking number hasn't updated in four days."
19,"The app says my account is locked after verification."
20,"The product stopped working after two days."
