id,category,sentiment,urgency
1,DELIVERY,NEGATIVE,MEDIUM
2,PRODUCT,POSITIVE,LOW
3,BILLING,NEGATIVE,MEDIUM
4,ACCOUNT,NEUTRAL,LOW
5,PRODUCT,NEGATIVE,MEDIUM
6,DELIVERY,NEGATIVE,MEDIUM
7,BILLING,NEGATIVE,HIGH
8,ACCOUNT,NEGATIVE,HIGH
9,PRODUCT,NEUTRAL,LOW
10,DELIVERY,MIXED,LOW
11,BILLING,NEUTRAL,LOW
12,DELIVERY,NEGATIVE,HIGH
13,PRODUCT,POSITIVE,LOW
14,ACCOUNT,NEGATIVE,HIGH
15,PRODUCT,NEGATIVE,LOW
16,OTHER,NEUTRAL,LOW
17,BILLING,NEGATIVE,MEDIUM
18,DELIVERY,NEGATIVE,MEDIUM
19,ACCOUNT,NEGATIVE,MEDIUM
20,PRODUCT,NEGATIVE,MEDIUM
