id,text,category,sentiment,urgency,requires_review,reviewer_note
1,"My order was supposed to arrive yesterday and I still don't have it.",DELIVERY,NEGATIVE,MEDIUM,FALSE,"Clear delivery delay complaint"
2,"Thanks! The replacement arrived today and works perfectly.",PRODUCT,POSITIVE,LOW,FALSE,"Positive product resolution"
3,"I was charged twice for the same subscription.",BILLING,NEGATIVE,MEDIUM,FALSE,"Duplicate charge"
4,"How can I change the email address on my account?",ACCOUNT,NEUTRAL,LOW,FALSE,"Account profile question"
5,"The headphones connect but the left side has no sound.",PRODUCT,NEGATIVE,MEDIUM,FALSE,"Product defect"
6,"Great, another package that arrived late.",DELIVERY,NEGATIVE,LOW,TRUE,"Sarcasm: positive word conveys negative meaning"
7,"Please cancel this charge before it processes tomorrow.",BILLING,NEGATIVE,HIGH,FALSE,"Explicit time-sensitive billing request"
8,"I can't log in and the password reset link keeps expiring.",ACCOUNT,NEGATIVE,MEDIUM,FALSE,"Repeated access problem"
9,"Do you know when the blue version will be back in stock?",PRODUCT,NEUTRAL,LOW,FALSE,"Product availability question"
10,"The delivery was late, but your support agent was incredibly helpful.",DELIVERY,MIXED,LOW,FALSE,"Negative delivery experience plus positive support experience"
11,"Where can I download my invoice?",BILLING,NEUTRAL,LOW,FALSE,"Invoice request"
12,"My package says delivered but nothing is at my door.",DELIVERY,NEGATIVE,MEDIUM,FALSE,"Potential missing delivery"
13,"Everything works as expected. Thank you.",PRODUCT,POSITIVE,LOW,FALSE,"Positive product feedback"
14,"I need access to my account today because I have a deadline tonight.",ACCOUNT,NEGATIVE,HIGH,FALSE,"Explicit deadline makes issue urgent"
15,"The item looks different from the photos but I think I can still use it.",PRODUCT,MIXED,LOW,TRUE,"Mild complaint with acceptance; sentiment is nuanced"
16,"Can someone explain your return policy?",OTHER,NEUTRAL,LOW,FALSE,"General policy question"
17,"I requested a refund last week and haven't received it yet.",BILLING,NEGATIVE,MEDIUM,FALSE,"Delayed refund"
18,"My tracking number hasn't updated in four days.",DELIVERY,NEGATIVE,MEDIUM,FALSE,"Tracking delay"
19,"The app says my account is locked after verification.",ACCOUNT,NEGATIVE,MEDIUM,FALSE,"Account access issue"
20,"The product stopped working after two days.",PRODUCT,NEGATIVE,MEDIUM,FALSE,"Product failure"
